Millis, ID, Ext, Bus, Len, B0, B1, B2, B3, B4, B5, B6, B7
423,534,0,0,2,ae,7,0,0,0,0,0,0
429,508,0,0,5,0,0,0,0,1,0,0,0
436,509,0,0,6,7f,ff,7f,ff,7f,ff,0,0
442,514,0,0,3,3,ff,0,0,0,0,0,0
448,512,0,0,4,0,0,0,0,0,0,0,0
454,50C,0,0,3,77,6,1,0,0,0,0,0
467,500,0,0,1,1,0,0,0,0,0,0,0
472,504,0,0,3,0,cb,1,0,0,0,0,0
478,540,0,0,6,9,90,0,8,90,0,0,0
484,508,0,0,5,0,0,0,0,1,0,0,0
490,509,0,0,6,7f,ff,7f,ff,7f,ff,0,0
497,514,0,0,3,3,ff,0,0,0,0,0,0
503,512,0,0,4,0,0,0,0,0,0,0,0
509,50C,0,0,3,77,6,1,0,0,0,0,0
517,500,0,0,1,1,0,0,0,0,0,0,0
524,504,0,0,3,0,cb,1,0,0,0,0,0
530,524,0,0,8,0,9,9,9,9,9,9,9
536,534,0,0,2,ae,7,0,0,0,0,0,0
542,508,0,0,5,0,0,0,0,1,0,0,0
549,509,0,0,6,7f,ff,7f,ff,7f,ff,0,0
555,514,0,0,3,3,ff,0,0,0,0,0,0
561,512,0,0,4,0,0,0,0,0,0,0,0
568,50C,0,0,3,77,6,1,0,0,0,0,0
574,500,0,0,1,1,0,0,0,0,0,0,0
581,504,0,0,3,0,cb,1,0,0,0,0,0
587,544,0,0,6,9,80,0,b,90,0,0,0
593,508,0,0,5,0,0,0,0,1,0,0,0
600,509,0,0,6,7f,ff,7f,ff,7f,ff,0,0
606,514,0,0,3,3,ff,0,0,0,0,0,0
613,512,0,0,4,0,0,0,0,0,0,0,0
621,50C,0,0,3,77,6,1,0,0,0,0,0
628,500,0,0,1,1,0,0,0,0,0,0,0
634,534,0,0,2,ae,7,0,0,0,0,0,0
641,500,0,0,1,1,0,0,0,0,0,0,0
647,508,0,0,5,0,0,0,0,1,0,0,0
653,520,0,0,8,9,9,9,9,b,9,9,9
660,500,0,0,1,1,0,0,0,0,0,0,0
666,500,0,0,1,1,0,0,0,0,0,0,0
673,508,0,0,5,0,0,0,0,1,0,0,0
679,500,0,0,1,1,0,0,0,0,0,0,0
686,500,0,0,1,1,0,0,0,0,0,0,0
692,548,0,0,6,1d,d0,0,b,a0,0,0,0
699,520,0,0,8,9,9,9,9,b,9,9,9
706,504,0,0,3,0,cb,1,0,0,0,0,0
712,508,0,0,5,0,0,0,0,1,0,0,0
719,524,0,0,8,0,9,9,9,9,9,9,9
725,500,0,0,1,1,0,0,0,0,0,0,0
734,508,0,0,5,0,0,0,0,1,0,0,0
740,504,0,0,3,0,cb,1,0,0,0,0,0
747,509,0,0,6,7f,ff,7f,ff,7f,ff,0,0
753,520,0,0,8,9,9,9,9,b,9,9,9
760,500,0,0,1,1,0,0,0,0,0,0,0
767,508,0,0,5,0,0,0,0,1,0,0,0
773,500,0,0,1,1,0,0,0,0,0,0,0
780,52C,0,0,1,4,0,0,0,0,0,0,0
787,504,0,0,3,0,ca,1,0,0,0,0,0
793,500,0,0,1,1,0,0,0,0,0,0,0
800,548,0,0,6,1e,d0,0,b,a0,0,0,0
806,534,0,0,2,ae,7,0,0,0,0,0,0
813,500,0,0,1,1,0,0,0,0,0,0,0
820,512,0,0,4,0,0,0,0,0,0,0,0
827,534,0,0,2,ad,7,0,0,0,0,0,0
833,508,0,0,5,0,0,0,0,1,0,0,0
842,504,0,0,3,0,cb,1,0,0,0,0,0
849,508,0,0,5,0,0,0,0,1,0,0,0
856,504,0,0,3,0,cb,1,0,0,0,0,0
862,520,0,0,8,9,9,9,9,b,9,9,9
869,508,0,0,5,0,0,0,0,1,0,0,0
876,500,0,0,1,1,0,0,0,0,0,0,0
883,514,0,0,3,3,ff,0,0,0,0,0,0
890,52C,0,0,1,4,0,0,0,0,0,0,0
897,534,0,0,2,ae,7,0,0,0,0,0,0
903,508,0,0,5,0,0,0,0,1,0,0,0
910,500,0,0,1,1,0,0,0,0,0,0,0
917,534,0,0,2,ad,7,0,0,0,0,0,0
924,508,0,0,5,0,0,0,0,1,0,0,0
931,500,0,0,1,1,0,0,0,0,0,0,0
938,524,0,0,8,0,9,9,9,9,9,9,9
945,504,0,0,3,0,cb,1,0,0,0,0,0
954,508,0,0,5,0,0,0,0,1,0,0,0
961,548,0,0,6,1e,d0,0,b,a0,0,0,0
968,500,0,0,1,1,0,0,0,0,0,0,0
975,508,0,0,5,0,0,0,0,1,0,0,0
982,504,0,0,3,0,ca,1,0,0,0,0,0
989,500,0,0,1,1,0,0,0,0,0,0,0
996,52C,0,0,1,4,0,0,0,0,0,0,0
1003,500,0,0,1,1,0,0,0,0,0,0,0
1010,544,0,0,6,9,80,0,b,90,0,0,0
1018,548,0,0,6,1d,d0,0,b,a0,0,0,0
1025,520,0,0,8,9,9,9,9,b,9,9,9
1032,534,0,0,2,ad,7,0,0,0,0,0,0
1039,540,0,0,6,9,a0,0,8,a0,0,0,0
1047,524,0,0,8,0,9,9,9,9,9,9,9
1054,568,0,0,1,14,0,0,0,0,0,0,0
