Millis,ID,B0,B1,B2,B3,B4,B5,B6,B7
86633,512,0,0,0,0,,,,
86640,500,4,,,,,,,
86641,50c,92,5,1,,,,,
86642,504,0,1a,1,,,,,
86644,54c,0c,c0,0,0c,90,0,,
86650,500,4,,,,,,,
86651,534,48,8,,,,,,
86652,550,17,17,17,0,,,,
86652,513,0,0,0,0,,,,
86653,504,0,1a,1,,,,,
86659,512,0,0,0,0,,,,
86662,548,0f,d0,0,8b,c0,0,,
86662,524,0,0,0,0,5,0,5,9
86662,500,4,,,,,,,
86664,504,0,1a,1,,,,,
86667,540,7,90,0,0c,b0,0,,
86667,544,0a,90,0,7,30,5,,
86670,570,17,,,,,,,
86671,534,49,8,,,,,,
86672,508,0,0,0,0,3,,,
86672,509,ad,5,f5,1,64,3,,
86675,538,0,0,aa,2,aa,2,0f,2
86675,500,4,,,,,,,
86675,504,0,1a,1,,,,,
86678,513,0,0,0,0,,,,
86681,520,0,9,5,5,3,5,5,4
86684,500,4,,,,,,,
86685,512,0,0,0,0,,,,
86686,504,0,1a,1,,,,,
86691,568,18,,,,,,,
86692,50c,97,5,1,,,,,
86695,52c,0,,,,,,,
86695,534,50,8,,,,,,
86695,500,4,,,,,,,
86695,54c,0b,c0,0,0c,90,0,,
86697,504,0,1a,1,,,,,
86698,56c,18,,,,,,,
86704,513,0,0,0,0,,,,
86705,500,4,,,,,,,
86707,510,78,5,0,,,,,
86708,504,0,1a,1,,,,,
86711,512,0,0,0,0,,,,
86713,548,0e,d0,0,a0,c0,0,,
86713,524,0,0,0,0,5,0,5,9
86715,534,48,8,,,,,,
86716,500,4,,,,,,,
86717,55c,18,,,,,,,
86719,540,7,90,0,0c,b0,0,,
86719,528,0,,,,,,,
86719,544,0a,90,0,8,40,5,,
86719,504,0,1a,1,,,,,
86722,564,17,,,,,,,
86723,538,0,0,aa,2,aa,2,0f,2
86723,509,ac,5,f4,1,65,3,,
86723,508,0,0,0,0,3,,,
86727,500,4,,,,,,,
86730,504,0,1a,1,,,,,
86730,513,0,0,0,0,,,,
86731,520,0,9,5,5,3,5,5,4
86732,554,0,0,0,0,,,,
86733,514,0,4,0,,,,,
86736,534,49,8,,,,,,
86737,512,0,0,0,0,,,,
86739,500,4,,,,,,,
86741,504,0,1a,1,,,,,
86743,50c,99,5,1,,,,,
86746,54c,0c,c0,0,0c,90,0,,
86749,500,4,,,,,,,
86752,504,0,1a,1,,,,,
86755,560,17,,,,,,,
86756,513,0,0,0,0,,,,
86759,534,53,8,,,,,,
86760,500,4,,,,,,,
86763,512,0,0,0,0,,,,
86763,504,0,1a,1,,,,,
86765,548,0f,d0,0,87,c0,0,,
86765,524,0,0,0,0,5,0,5,9
86769,540,7,a0,0,0c,b0,0,,
86771,544,0a,90,0,8,40,5,,
86771,500,4,,,,,,,
86774,538,0,0,aa,2,aa,2,0f,2
86777,509,ab,5,f5,1,65,3,,
86777,504,0,1a,1,,,,,
86777,508,0,0,0,0,3,,,
86780,534,48,8,,,,,,
86782,500,4,,,,,,,
86782,513,0,0,0,0,,,,
86783,520,0,9,5,5,3,5,5,4
86785,504,0,1a,1,,,,,
86789,512,0,0,0,0,,,,
86794,500,4,,,,,,,
86797,50c,98,5,1,,,,,
86797,52c,0,,,,,,,
86797,504,0,1a,1,,,,,
86798,54c,0c,c0,0,0c,90,0,,
86801,534,49,8,,,,,,
86804,500,4,,,,,,,
86807,504,0,1a,1,,,,,
86809,510,78,5,0,,,,,
86810,513,0,0,0,0,,,,
86815,512,0,0,0,0,,,,
86818,500,4,,,,,,,
86818,548,0e,d0,0,a2,c0,0,,
86818,524,0,0,0,0,5,0,5,9
86818,504,0,1a,1,,,,,
86821,540,7,90,0,0b,a0,0,,
86821,528,0,,,,,,,
86821,564,17,,,,,,,
