Millis, ID, Ext, Bus, Len, B0, B1, B2, B3, B4, B5, B6, B7
491,500,0,0,1,2,0,0,0,0,0,0,0
498,534,0,0,2,c6,7,0,0,0,0,0,0
505,528,0,0,1,0,0,0,0,0,0,0,0
511,540,0,0,6,9,a0,0,8,90,0,0,0
518,520,0,0,8,0,9,4,5,b,5,9,9
525,544,0,0,6,a,80,0,b,90,0,0,0
532,500,0,0,1,2,0,0,0,0,0,0,0
539,500,0,0,1,2,0,0,0,0,0,0,0
546,534,0,0,2,c6,7,0,0,0,0,0,0
553,500,0,0,1,2,0,0,0,0,0,0,0
560,500,0,0,1,2,0,0,0,0,0,0,0
567,534,0,0,2,c6,7,0,0,0,0,0,0
574,500,0,0,1,2,0,0,0,0,0,0,0
581,540,0,0,6,9,a0,0,8,90,0,0,0
588,520,0,0,8,0,9,4,5,b,5,9,9
597,544,0,0,6,9,90,0,b,90,0,0,0
604,534,0,0,2,c6,7,0,0,0,0,0,0
611,500,0,0,1,2,0,0,0,0,0,0,0
618,500,0,0,1,2,0,0,0,0,0,0,0
625,534,0,0,2,c5,7,0,0,0,0,0,0
632,500,0,0,1,2,0,0,0,0,0,0,0
639,500,0,0,1,2,0,0,0,0,0,0,0
646,550,0,0,4,16,16,16,0,0,0,0,0
653,528,0,0,1,0,0,0,0,0,0,0,0
660,534,0,0,2,c4,7,0,0,0,0,0,0
668,500,0,0,1,2,0,0,0,0,0,0,0
675,540,0,0,6,9,90,0,8,a0,0,0,0
682,520,0,0,8,0,9,4,5,b,5,9,9
689,544,0,0,6,9,80,0,b,90,0,0,0
696,500,0,0,1,2,0,0,0,0,0,0,0
704,534,0,0,2,c5,7,0,0,0,0,0,0
713,534,0,0,2,c5,7,0,0,0,0,0,0
720,500,0,0,1,2,0,0,0,0,0,0,0
727,504,0,0,3,0,cb,1,0,0,0,0,0
735,500,0,0,1,2,0,0,0,0,0,0,0
742,504,0,0,3,0,cb,1,0,0,0,0,0
749,504,0,0,3,0,cb,1,0,0,0,0,0
756,500,0,0,1,2,0,0,0,0,0,0,0
764,504,0,0,3,0,cb,1,0,0,0,0,0
771,504,0,0,3,0,cb,1,0,0,0,0,0
778,500,0,0,1,2,0,0,0,0,0,0,0
786,504,0,0,3,0,cb,1,0,0,0,0,0
793,500,0,0,1,2,0,0,0,0,0,0,0
800,504,0,0,3,0,cb,1,0,0,0,0,0
808,504,0,0,3,0,cb,1,0,0,0,0,0
815,500,0,0,1,2,0,0,0,0,0,0,0
822,500,0,0,1,2,0,0,0,0,0,0,0
832,504,0,0,3,0,cb,1,0,0,0,0,0
839,500,0,0,1,2,0,0,0,0,0,0,0
847,504,0,0,3,0,cb,1,0,0,0,0,0
854,540,0,0,6,9,a0,0,8,90,0,0,0
867,570,0,0,1,16,0,0,0,0,0,0,0
876,504,0,0,3,0,cb,1,0,0,0,0,0
884,534,0,0,2,c6,7,0,0,0,0,0,0
892,500,0,0,1,2,0,0,0,0,0,0,0
899,504,0,0,3,0,ca,1,0,0,0,0,0
907,534,0,0,2,c5,7,0,0,0,0,0,0
915,500,0,0,1,2,0,0,0,0,0,0,0
922,504,0,0,3,0,cb,1,0,0,0,0,0
930,534,0,0,2,c4,7,0,0,0,0,0,0
938,500,0,0,1,2,0,0,0,0,0,0,0
946,504,0,0,3,0,cb,1,0,0,0,0,0
953,528,0,0,1,10,0,0,0,0,0,0,0
963,500,0,0,1,2,0,0,0,0,0,0,0
971,504,0,0,3,0,cb,1,0,0,0,0,0
979,100,0,0,2,3,a9,0,0,0,0,0,0
986,500,0,0,1,2,0,0,0,0,0,0,0
994,504,0,0,3,0,cb,1,0,0,0,0,0
1002,100,0,0,2,3,51,0,0,0,0,0,0
1010,500,0,0,1,2,0,0,0,0,0,0,0
1018,100,0,0,2,2,f9,0,0,0,0,0,0
1026,540,0,0,6,9,a0,0,8,a0,0,0,0
1033,100,0,0,2,2,f7,0,0,0,0,0,0
1041,504,0,0,3,0,ca,1,0,0,0,0,0
1049,100,0,0,2,2,f8,0,0,0,0,0,0
1057,500,0,0,1,2,0,0,0,0,0,0,0
1065,528,0,0,1,10,0,0,0,0,0,0,0
1073,100,0,0,2,2,fb,0,0,0,0,0,0
1081,570,0,0,1,16,0,0,0,0,0,0,0
1091,100,0,0,2,2,fd,0,0,0,0,0,0
1100,504,0,0,3,0,cb,1,0,0,0,0,0
1108,100,0,0,2,2,fc,0,0,0,0,0,0
1116,548,0,0,6,1c,d0,0,b,c0,0,0,0
1124,100,0,0,2,2,fc,0,0,0,0,0,0
1132,500,0,0,1,2,0,0,0,0,0,0,0
1140,504,0,0,3,0,ca,1,0,0,0,0,0
1148,100,0,0,2,2,fd,0,0,0,0,0,0
1156,500,0,0,1,2,0,0,0,0,0,0,0
1164,504,0,0,3,0,cb,1,0,0,0,0,0
1172,534,0,0,2,c2,7,0,0,0,0,0,0
1180,100,0,0,2,2,fe,0,0,0,0,0,0
1188,500,0,0,1,2,0,0,0,0,0,0,0
1196,100,0,0,2,2,fe,0,0,0,0,0,0
1205,100,0,0,2,2,fb,0,0,0,0,0,0
1213,100,0,0,2,2,fa,0,0,0,0,0,0
1223,100,0,0,2,2,fb,0,0,0,0,0,0
1232,504,0,0,3,0,cb,1,0,0,0,0,0
1240,100,0,0,2,2,fb,0,0,0,0,0,0
1248,500,0,0,1,2,0,0,0,0,0,0,0
1256,504,0,0,3,0,ca,1,0,0,0,0,0
1265,100,0,0,2,2,ff,0,0,0,0,0,0
1273,528,0,0,1,10,0,0,0,0,0,0,0
1281,100,0,0,2,2,fe,0,0,0,0,0,0
1289,534,0,0,2,c1,7,0,0,0,0,0,0
1297,100,0,0,2,2,ff,0,0,0,0,0,0
1306,500,0,0,1,2,0,0,0,0,0,0,0
1314,504,0,0,3,0,ca,1,0,0,0,0,0
1323,508,0,0,5,0,0,0,0,1,0,0,0
1334,548,0,0,6,1d,d0,0,b,c0,0,0,0
