Millis	ID	B0	B1	B2	B3	B4	B5	B6	B7
20579	544	0b	a0	0	9	d0	5		
20579	520	0	9	5	5	3	5	4	4
20582	504	0	1a	1					
20583	534	78	8						
20586	512	0	0	0	0				
20589	500	4							
20590	52c	0							
20591	513	0	0	0	0				
20593	508	ff	ff	0	0	0			
20593	509	0	0	0	0	0	0		
20593	538	0	0	0	0	0	0	0	0
20593	504	0	1a	1					
20600	500	4							
20604	504	0	1a	1					
20607	534	78	8						
20611	500	4							
20611	512	0	0	0	0				
20612	540	9	a0	0	0d	c0	0		
20615	504	0	1a	1					
20616	548	10	d0	0	0b	c0	0		
20616	54c	0c	c0	0	0c	90	0		
20617	50c	86	1	0					
20617	513	0	0	0	0				
20620	514	0	2	0					
20623	564	18							
20624	500	4							
20626	504	0	1a	1					
20627	534	78	8						
20628	524	0	0	0	0	5	0	5	9
20631	544	0b	a0	0	9	d0	5		
20631	520	0	9	5	5	3	5	4	4
20634	500	4							
20637	504	0	1a	1					
20637	512	0	0	0	0				
20640	550	19	19	18	0				
