Millis	ID	B0	B1	B2	B3	B4	B5	B6	B7
21110	504	0	1a	1					
21111	513	0	0	0	0				
21112	55c	18							
21114	500	4							
21121	504	0	1a	1					
21121	534	77	8						
21125	540	9	a0	0	0d	c0	0		
21125	564	18							
21126	514	0	2	0					
21127	500	4							
21127	50c	80	1	0					
21131	512	0	0	0	0				
21132	504	0	1a	1					
21135	548	0f	d0	0	73	c0	0		
21135	54c	0c	c0	0	0d	90	0		
21137	500	4							
21137	513	0	0	0	0				
21142	524	0	0	0	0	5	0	5	9
21143	534	75	8						
21143	504	0	1a	1					
21146	544	0b	b0	0	9	c0	5		
21146	520	0	9	5	5	3	5	5	4
21146	560	18							
21149	500	4							
21154	508	ff	ff	0	0	0			
21154	509	0	0	0	0	0	0		
21154	538	0	0	0	0	0	0	0	0
21154	504	0	1a	1					
21157	512	0	0	0	0				
21159	500	4							
21163	513	0	0	0	0				
21165	534	65	8						
21165	504	0	1a	1					
21169	510	79	5	0					
21170	500	4							
21176	504	0	1a	1					
21177	540	9	b0	0	0d	c0	0		
21177	528	0							
21178	50c	84	1	0					
21183	500	4							
21183	512	0	0	0	0				
21184	548	0f	d0	0	68	c0	0		
21184	54c	0c	d0	0	0d	90	0		
21187	534	76	8						
21188	504	0	1a	1					
21189	513	0	0	0	0				
21193	524	0	0	0	0	5	0	5	9
21194	500	4							
21196	544	0c	a0	0	9	c0	5		
21196	520	0	9	5	5	3	5	5	4
21198	504	0	1a	1					
21201	52c	0							
21205	508	ff	ff	0	0	0			
21208	509	0	0	0	0	0	0		
21208	538	0	0	0	0	0	0	0	0
21208	500	4							
21208	534	73	8						
21209	504	0	1a	1					
21209	512	0	0	0	0				
21215	513	0	0	0	0				
21216	500	4							
21220	504	0	1a	1					
21226	514	0	2	0					
21230	564	18							
21230	500	4							
21231	540	8	b0	0	0d	c0	0		
21231	534	65	8						
21231	50c	85	1	0					
21231	504	0	1a	1					
21235	548	0f	d0	0	86	c0	0		
21235	54c	0c	c0	0	0c	90	0		
21235	512	0	0	0	0				
21239	500	4							
21242	513	0	0	0	0				
21242	504	0	1a	1					
21244	550	19	19	18	0				
21244	524	0	0	0	0	5	0	5	9
21248	544	0b	a0	0	8	b0	5		
21248	520	0	9	5	5	3	5	5	4
21249	500	4							
21249	534	76	8						
21253	504	0	1a	1					
21256	508	ff	ff	0	0	0			
21259	509	0	0	0	0	0	0		
21259	538	0	0	0	0	0	0	0	0
21260	500	4							
21261	512	0	0	0	0				
21264	504	0	1a	1					
21264	570	19							
21267	513	0	0	0	0				
21270	554	0	0	0	0				
21270	510	7a	5	0					
21271	500	4							
21274	534	73	8						
21275	504	0	1a	1					
21279	528	0							
21280	50c	80	1	0					
21280	540	8	a0	0	0d	c0	0		
21282	500	4							
21286	504	0	1a	1					
